id,job_name,address,salary_range,company_name,industry,company_size,company_type,job_code,job_detail,update_date,company_detail,job_url
8125,日语翻译,广州-天河区,1.2-1.8万·13薪,辽宁政通对外劳务经济合作有限公司广州分公司,"咨询服务,培训/辅导服务",20-99人,,CC815079210J40552930207,日语客服岗位职责 1、协助运营专员统计并分析各项销售数据； 2、整理及回复客户的反馈信息，妥善处理客户投诉与纠纷，并对其进行归档分析； 3、网页页面评价管理； 4、协助完成其他日常运营工作。 日语客服岗位要求 1、大专及以上学历，日语N2及以上； 2、工作负责，细致认真，能承受一定的工作压力，有耐心，执行力强； 3、良好的沟通能力和团队合作管理能力； 4、熟悉常规办公软件的操作。 工作时间： 每天8小时，每周休息2天，轮休制。 薪资待遇： 1、30万日元，年收入300万日元-360万日元。 2、年龄38岁以下。 3、所有保险齐全，入职就交保险。 4、整层休息区，包含茶歇区、健身房、员工休息室等。 5、完善的员工培训制度、晋升制度。 （晋升制度： A、纵向:Associate-&gt;Team Leader&gt; Team manager-&gt;运营经理。 B、横向:运营质量管理-培训师-数据分析-现场监控-项目支持等，根据企业实际需求进行内部转岗/竞聘。） 五险一金、绩效奖金、年终分红、全勤奖、员工旅游、每年多次调薪、股票期权、交通补助、食宿补助jwy 提供住宿,7月26日,"新干线教育集团旗下子公司，提供境外就业信息、咨询、中介服务,隶属新干线教育集团。新干线教育集团创立于2005年，系沈阳市教育局批准的专门从事语言培训、出国留学、海外就业、境内境外游的综合性集团，目前拥有沈阳新干线外国语培训学校、沈阳政通佳益教育咨询有限公司、沈阳二十一世纪佳益出国留学服务有限公司、辽宁政通对外劳务经济合作有限公司、辽宁政通国际旅行社有限公司，以“培训、留学、就业、旅游”四大模块，全程一站式服务于广大学员。就业模块辽宁政通旗下，先后成立了:辽宁政通对外劳务经济合作有限公司广州分公司、四川分公司，大连分公司，杭州分公司以及日本东京分公司等。多年来，公司一直积极投身于国际文化交流，致力于涉外人才输出。和日本的新干线一样，新干线教育集团以安全、正确、舒适、快速的服务每年向世界各一线学府及涉外工作岗位输送大量优秀人才，为学员走出国门搭建起坚实的桥梁。在市委、市政府领导的关怀下，在国家有关部门的大力支持下，新干线教育集团凭借着贴心的服务、先进的教学理念和完善的海外服务，在培训及人才输出领域脱颖而出，赢得了学员的口碑、市场的青睐，已经成为东北地区语言培训及涉外留学、就业领域的一面旗帜。未来，集团还将一如既往的以诚载信，积极投身于国际文化教育与交流事业，见证更多学员的成长与美好未来，为实现“促进国际交流，铸就百年品牌”的目标而不懈努力。新干线教育集团旗下子公司辽宁政通对外劳务经济合作有限公司，是经中华人民共和国商务部批准并授权颁发《对外劳务合作经营资格证书》[证书编号：LW210020120008],拥有正规资质的境外就业服务机构。公司先后与日本、美国、澳大利亚、新西兰、韩国、新加坡、加拿大、俄罗斯等10余个国家的院校建立了的长期的合作关系，送出去的留学生达数千人。为广大莘莘学子架起了通往成功道路的桥梁。友情提醒：办理出国劳务请选择国家商务部正规资质公司，以防上当受骗，请勿贪图便宜选择那些费用低，待遇高的出国项目，办理前一定要核实中介公司的商务部资质，所有正规的商务部资质公司，注册抵押金均已更改为600万人民币！或登录国家商务部官方网站自行查询~~出国劳务陷阱多，请谨慎选择办理！联系方式：微信公众号：lnzhengtong（出国就业吧）公司网站：www.nhk360.com微信/电信：13889814653新干线李老师公司地址：成都市武侯区科华北路62号力宝大厦1001座机：028-62788831广州市天河区体育西路57号红盾大厦5A26室座机：020-28821709沈阳市沈河区北站路53号财富中心B座15楼座机：024-22523845日本分公司：东京都涩谷区道玄坂2-16-2","https://www.zhaopin.com/jobdetail/CC815079210J40552930207.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8126,销售运营,北京-朝阳区,7000-9000元·13薪,北京会小二信息技术有限公司,"互联网,广告/营销",300-499人,B轮,CC266949830J40777263405,1【公司介绍】 国内最大mice平台、会议资源在线预定、互联网公司 独角兽企业，互联网公司，会议会展方向行业第一，学习型组织，培训体系完善，挑战与机遇兼备！ 2【职位描述】 1.客户运营：平台分配资源，持续运营客户和酒店，分析用户画像并优化运营策略，提高成交比例； 2.撮合双端交易：做好场地方和客户之间的桥梁，协调解决问题，促成合作； 3.在线场地推荐：对平台来的新客进行需求分析，借助产品，在线提供场地解决方案； 4.支持产品优化：总结客户反馈和产品问题，打磨用户体验，助力产品迭代 。 3【岗位要求】 1.硬件要求：本科及以上学历，专业不限； 2.沟通流畅，有换位思考和感染他人的能力； 3.皮实抗压，有良好的自我管理和自我驱动能力； 4.不甘于平庸，有奋斗意愿和成长诉求； 5.踏实上进，有较强的学习能力和成长空间,6月16日,会小二（www.huixiaoer.com），是北京云动数字媒体技术有限公司旗下品牌。自2013年创立起，会小二始终以解决用户问题，提高行业效率为使命。坚持服务双端用户，为企业客户提供会议场地解决方案，为会议酒店精准匹配高价值增量客群促进成交。万亿级MICE市场规模、清晰的商业模式和奋斗的精英团队，相继吸引了国际知名风险投资机构IDG和DCM的巨额投资。5年来，会小二深扎双端交易、持续优化产品和流程、沉淀数据建立壁垒，凭借整合供需双端的运营能力和提升行业效率的技术实力，已经成为了MICE市场领跑者。会小二与万豪、希尔顿、香格里拉、洲际、万达、恒大、碧桂园等国内外知名酒店集团达成战略合作。目前在全国落地了13个城市分公司，服务覆盖全国一二三线城市。拥有强大的会议活动供应链体系，累计成功服务20万企业客户。,"https://www.zhaopin.com/jobdetail/CC266949830J40777263405.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8127,网络客服,唐山-路北区,5000-7000元,北京位来无忧科技有限公司,"咨询服务,专业技术服务",300-499人,A轮,CC614535880J40765055507,1、通过远程监控对话解决客户从进店、购物、离店，以及异常场景下遇到的各类问题 2、与客户保持热情、良好的沟通，提升顾客体验及复购率 工作内容 3、能及时发现并上报各店突发事件，并追踪解决结果 通过远程监控观看店内交易是否有异常，通过监控对话的形式户解决顾客在门店购物过程中遇到的问题 ,7月25日,位来小猎成立于2018年1月，2019年6月完成A轮融资；聚焦行业精华，利用后发优势，在1年以内成为行业黑马公司。核心团队成员均有十年以上的人力资源经验，具备丰富的人力资源专业知识和项目实践，服务众多500强企业和知名互联网公司。掌握专业领域核心资源，团队迅速扩张，以北京为中心，在全国建立了10家分公司及办事处，业务覆盖全国。服务客户包括国家体育总局，百度，网易，物美多点，美团，字节跳动，喜马拉雅，作业帮，得物，VIPKID，瓜子，京东，拼多多，喜茶，中国人保等。以互联网为载体，依托于各平台，微信公众号、入职有赏微信小程序上活跃的海量求职者资源，核心业务包括人才外包、专业招聘、业务外包、转编服务和灵活用工等。服务行业涉及全国各领域，其中包括社交电商，旅游酒店，互联网（教育），新零售，金融和国家单位等。位来无忧以“把求职者的未来当做自己的未来”为核心价值，希望通过我们专业的服务和不懈的努力，帮助求职者找到更合适、更有发展前景的工作，破冰职场迷茫，为未来指引方向。一直以来，位来无忧秉承以专业诚信为核心，在专注人力资源服务的同时，为众多求职者解决就业问题，优质、用心的服务赢得了众多用户的好评与信赖。除此之外，公司还建立了完善的服务体系，为求职者在工作中遇到的所有问题和困难提供指导帮助。我们相信，通过我们的不断努力和追求，一定能够创造我们和求职者更好的未来！,"https://www.zhaopin.com/jobdetail/CC614535880J40765055507.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8128,质量管理/测试,芜湖-鸠江区,4000-6000元,芜湖国天汽车零部件制造有限公司,"新能源汽车,汽车零部件",100-299人,未融资,CCL1461402710J40766496010,1、负责按图纸或检验标准执行对成品质量的检验；,2025-07-28 00:02:40,芜湖国天汽车零部件制造有限公司由汉峰新材集团旗下芜湖旭日机械制造有限公司与芜湖发科科技有限责任公司合资成立，专业从事新能源电动汽车动力电池及储能电池结构件、连接件的研发、生产、销售、与服务。公司位于安徽省芜湖市自由贸易试验区，实缴注册资金 4 5 0 0万元，厂房占地面积 10000平米，现有在职员工200余人，其中，具有10年以上主机配套服务经验的技术骨干及管理人员20余名，拥有国内最先进的铜、铝软连接自动化生产线10条，年产铜、铝软连接 1000多万件，拥有壳体自动化生产线5条，年产各类电芯壳体4000余万件，综合年产值3.5亿元。公司现主要客户有国轩高科、远景动力、正力新能、多氟多、舟之航、华庭动力、奇达动力、瑞露科技、得壹新能源、力神等。公司按IATF16949:2016标准建立质量管理体系，形成了制度化、标准化、数字化的管理模式，实现了研发、生产、销售、服务的全过程有效管控，产品质量、准时交付率等都处于行业领先水平，公司坚持“以顾客为中心，过程保证结果，预防胜过纠正；全程全员行动，程序代替经验，持续循环创新”的质量方针，制定了“服务客户、服务员工、服务社会”的责任宣言，真诚希望携手国内外同行共谋发展，我们坚信，你我的合作，定会创造辉煌的未来。,"https://www.zhaopin.com/jobdetail/CCL1461402710J40766496010.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8129,招聘专员/助理,广州-天河区,150-200元/天,卓望信息技术(北京)有限公司,"互联网,运营商/增值服务,计算机软件",1000-9999人,未融资,CC120834160J40686242802,"岗位职责: 1、维护和拓展公司招聘渠道,协助各类招聘活动； 2、整理招聘相关资料,协助人力资源的数据更新维护工作; 3、根据用人需求，协助组织安排面试，跟进面试反馈、入职准备等招聘整体流程; 4、配合公司其他各项工作的开展，完成临时安排的工作。 岗位要求: 1、本科及以上学历在校生，26届优先； 2、熟练使用办公软件,具有较好的数据分析能力； 3、具有良好的沟通能力，抗压力、自驱力强良好的执行力； 4、每周可以实习3天及以上，实习3-6个月，人力资源相关专业优先。 工作地点：广州珠江新城富力中心大厦43楼 PS:可开实习证明；朝九晚六，弹性上下班，周末双休；学习内容多，成长机会大",1月6日,"卓望公司成立于2000年6月，是中国移动的控股子公司，作为中国无线数据业务最早的倡导者和开拓者，积极协助中国移动探索拓展IT、ICT、Internet领域的业务。卓望公司通过产学研结合的方式，帮助中国移动开发移动数据业务产品，打造面向未来的新型移动互联网产业创新能力，先后自主研发了移动信息服务中心（MISC, Mobile Information Service Center）、业务信息管理系统（ SIMS, Service Information Management System）等多种覆盖全国的超大型业务平台；凭借丰富的运营经验和全面的支撑能力，帮助中国移动运营支撑手机报、手机阅读、号簿管家（PIM）等数十种千万级用户规模的移动数据业务，辅助中国移动发展了139社区、移动微博、移动通讯录等亿级注册用户数的互联网业务，协助中国移动打造了全球第一个运营商移动应用商场（Mobile Market）和中国移动安全认证CA中心；此外，还在终端测试、用户体验（UI/UE）、云计算、流量经营等新业务领域展开积极探索，形成独特的核心价值。卓望公司发挥灵活的市场化机制，已培养并形成了一支具有IT、ICT和Internet多元化经验、年龄结构合理、专业性强、超过2500人的人才队伍，设立广州、深圳、杭州、上海、西安、成都等多个办公地点，为客户提供完备的技术和运营支持。卓望公司还与清华大学、北京航空航天大学等在云计算等方面开展联合研究与应用合作，不断巩固提升公司的核心技术研发能力。在行业融合、竞争加剧的未来，卓望公司一方面以市场化的运作模式，为客户提供支撑运营服务，持续提升客户体验，以优质服务获得客户信任；另一方面，面向未来，坚持自主创新，充分利用积累的数据及互联网业务的技术和经验，积极拓展新型移动互联网业务。卓望，靠信任赢得发展机遇，借机遇提升自身能力，用能力创造市场价值。卓越梦想，无限希望！官网：www.aspirecn.com","https://www.zhaopin.com/jobdetail/CC120834160J40686242802.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8130,销售工程师,上海-浦东新区,1-2万,广州市锐博生物科技有限公司,"医药制造,学术/科研",100-299人,不需要融资,CC138993100J40672601201,职位描述,7月24日,"广州锐博生物技术有限公司（简称锐博生物）总部位于广州市黄埔区广州开发区，是一家以核酸技术为核心，为基因功能、细胞生物学及药物研究提供产品与技术服务，以一体化核酸药CDMO服务为主导，致力于让新一代核酸药从概念走向商业化的国家火炬计划重点高新技术企业，是中国核酸行业的领军企业之一，拥有***博士后科研工作站。公司立足于基础生命科学与医学研究，创始人由国家重大人才工程入选者和诺贝尔生理/医学奖获得者领衔，以国际化视野和技术平台实力，提供高品质的寡核酸Oligo合成修饰、CRISPR-Cas9、RNAi、非编码RNA、细胞分析、外泌体提取、DNA提取、PCR扩增、qRT-PCR试剂盒及引物等，提供高内涵细胞成像及筛选、载体构建、动物实验、高通量测序、生信分析、RNA体外转录、外泌体检测、qPCR检测等技术服务，提供闻名业界的核酸药GMP生产CDMO服务。通过跨学科、多平台、上下游贯通的综合技术优势，赢得了国内外客户的信赖和赞誉。公司申请专利71项，其中已授权专利21项。“锐博生物RiboBio”是中国高品质核酸产品代名词之一，为国内外超过5000家机构提供产品或服务，客户SCI文章累计超过15,000多篇，合作客户包括诺贝尔奖得主实验室、知名科研机构和全球制药公司，锐博生物是亚洲知名的寡核酸原料药生产企业之一，2016年获得中国药监局颁发的寡核酸原料药生产许可证，现已跻身于全球核酸药CDMO的知名企业行列。公司秉承“以创新求发展，以品质铸未来，以诚信待客户”的发展理念，追求“创新永不停”！","https://www.zhaopin.com/jobdetail/CC138993100J40672601201.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8131,BD经理,上海-徐汇区,2.5-3万,北京迈瑞生医药科技有限公司,"医药制造,卫生服务,医疗设备/器械",100-299人,A轮,CC189035020J40017034311,CRO公司,7月18日,北京迈瑞生医药科技有限公司是一家专业从事注册咨询的顾问公司，主要从事国家药品监督管理局(NMPA)相关注册临床试验业务。公司创立于2008年，业务主要包括医疗器械、特医食品、医美三大领域，同时也涵盖了相关的全产业链服务内容，成为了行业里唯一拥有医疗器械、特医食品和化妆品三大核心板块的注册咨询、临床试验、临床SMO自有团队及创新服务模式的公司。迈惟集团拥有成熟专业的工作体系，并取得GB/T10991和GB/T42061质量管理体系证书，规模和实力均已达到业内领先水平。,"https://www.zhaopin.com/jobdetail/CC189035020J40017034311.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8132,售后客服,无锡-新吴区,8000-12000元,中国平安人寿保险股份有限公司无锡市梁溪支公司(菁英部门),保险,10000人以上,已上市,CCL1500369330J40720076301,我们正在寻找一位专业的售后客服， 负责处理客户的咨询、投诉与建议，确保客户满意度。 工作内容： 包括接听电话、外呼客户，跟进客户问题等。 工作时间:8点半～4点半 周末节假日根据国家法定休 岗位要求： 1. 大专及以上学历（有经验可放开）有售后客服经验者优先； 2. 良好的沟通能力和服务意识，能解决客户问题； 3. 熟练使用常用办公软件； 4. 责任心强，有团队精神,6月1日,"中国平安致力于成为国际领先的科技型个人金融生活服务集团。2019年，中国平安深入推进""金融+科技""、""金融+生态""战略转型，持续提升数据化经营能力，整体业绩及核心金融业务持续稳健增长，科技赋能成效显著，生态赋能效果初显，综合金融用户数、客户数、客均合同、客均利润均有明显增长。公司实现营业收入同比增长19.7%至11,688.67亿元。截至2019年底，公司个人客户数首次突破两亿，互联网用户量达5.16亿，全年新增客户数3,657万，其中40.7%来自集团五大生态圈的互联网用户。中国平安始终践行""金融为实体经济服务""的精神，坚持把实体经济服务作为出发点和落脚点，通过旗下的保险、银行、信托、金融科技等业务，把逾4万亿金融资源配置到经济社会发展的重点领域和薄弱环节，包括通过保险保障、提供贷款、债权股权计划、普惠金融等多种方式，全面助力实体经济发展。凭借全球领先的创新科技，中国平安将科技深度运用于金融主业中，助力降本增效、风险管控，打造优质产品和极致服务体验，提升客户口碑。与此同时，平安将领先科技广泛应用在金融、医疗及智慧城市等领域，全面支撑""金融服务、医疗健康、汽车服务、房产服务、智慧城市""五大生态圈建设。在企业社会责任方面，平安深化可持续发展理念，MSCI ESG评级连续两次调高至A级，打造AI-ESG平台赋能责任投资，截至2019年12月末，公司责任投资规模达9,544.49亿元，可持续保险金额达121.21万亿元，绿色信贷年度授信总额590.56亿元。同时，平安积极响应国家脱贫攻坚战的号召，推进""三村扶贫工程""项目，累计提供专项扶贫资金249.05亿元。面对新冠肺炎疫情，平安第一时间推出保险保障、医疗支持、对外捐赠等多重支持举措，提供的物资及现金捐赠总额超1.75亿元。2020年，中国平安品牌价值持续提升，名列美国《财富》“世界500强企业”第21位，居全球金融企业第2位，《福布斯》全球上市公司2000强第7位，BrandZ™全球品牌价值100强第38位，蝉联全球保险品牌第1位。","https://www.zhaopin.com/jobdetail/CCL1500369330J40720076301.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8133,英语翻译,重庆-渝北区,8000-15000元,重庆泓宝科技股份有限公司,"专业技术服务,石油/石化,人工智能,物联网",300-499人,未融资,CC353776810J40727855616,工作内容 1、涉外沟通交流，工作文档的翻译，如邮件、文档、合同、技术说明等； 2、协助相关部门进行商务沟通，商务洽谈； 3、领导交代的其他的相关工作； 任职要求 1、能接受出差（包含国内、国外）  2、本科以上学历，英语专业、阿拉伯语专业、语言类大学毕业生优先；   3、35岁以下，欢迎优秀的应往届毕业生；   3、性格开朗，反应敏捷，具有较强的学习能力和沟通能力、表达能力；   4、对工作认真负责，做事细心踏实，积极主动，有团队协作精神。,7月23日,【公司简介】重庆泓宝科技股份有限公司成立于1998年，是一家具备多项自主核心专利技术和专业资质的国家级专精特新“小巨人”企业，秉承开放创新的精神，围绕客户需求，服务于工业数字化生态构建。自公司成立以来一直扎根油气能源行业，为客户提供工业自动化、工程数字化、信息化平台建设和人工智能应用等综合性数智化解决方案。公司在国内市场已深耕发展多年，在技术研发与产品体系构建方面已积淀深厚实力。现为积极开拓国际市场，制定了全球化战略布局，已在迪拜设立了海外子公司，并以此为支点辐射中东及周边区域市场，持续推动技术与产品的国际化进程，为全球客户提供更优质的解决方案与服务。【重点资质】公司已荣获国家高新技术企业、国家知识产权优势企业、企业技术中心、军工装备承制单位、涉密信息系统集成资质证书（乙级）等认证及荣誉，并入选重庆市软件和信息服务业“五十强”。【核心产品】公司产品体系涵盖油气管道无人机巡检系统、油气智能场站机器人、激光甲烷遥测仪、油气场站作业现场风险管控终端等，广泛应用于中石油、中石化、中海油、国家管网等国内外知名能源企业。,"https://www.zhaopin.com/jobdetail/CC353776810J40727855616.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
8134,培训师,南京-鼓楼区,14-20万,沙洲职业工学院,学校/学历教育,500-999人,不需要融资,CC204163980J40778349803,实际工作地苏州张家港，影视特效与包装技术、影视剪辑技术、数字设计与动画制作、分镜头脚本设计等教学科研工作,7月5日,沙洲职业工学院创建于1984年，是一所公办普通高等职业院校，作为全国第一所县办大学被载入中国高等教育史。坐落于全国文明典范城市--苏州张家港市，占地530亩。时任中共中央总书记胡耀邦提笔寄语“沙工有如扬子水，不尽人才滚滚来”。著名科学家、教育家钱伟长自学院开办之初一直担任名誉院长。 40年来，学院秉承“勤奋、求实、开拓、进取”的校训，以立德树人为根本任务，以高质量发展为前进方向，开拓创新、砥砺前行，陆续荣获教育部人才培养工作水平评估优秀学校、江苏省文明校园等诸多荣誉。学院设有建筑工程与设计学院、纺织服装与材料学院、智能制造学院、数字化与微电子学院、经济管理学院、公共教育学院、马克思主义学院等7个学院35个专业，拥有国家级省级实训基地、科技服务平台、科技创业园、众创空间等载体平台，硬件完善、软件先进，是一所现代化的高等职业院校。,"https://www.zhaopin.com/jobdetail/CC204163980J40778349803.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
