id,job_name,address,salary_range,company_name,industry,company_size,company_type,job_code,job_detail,update_date,company_detail,job_url
3001,科研人员,西安-雁塔区,2.5-4万·14薪,融域智慧(西安)智能科技有限公司,"人工智能,云计算/大数据,计算机硬件,计算机软件",20-99人,,CCL1410953600J40302448009,【岗位职责】 1. 负责完成有机化学或高分子化学催化机理相关计算； 2. 协助算法专家建立有机反应机器学习模型； 3. 其他计算化学相关研究工作。 【岗位要求】 1. 学历专业：博士，计算化学专业； 2. 工作年限：不限，接受优秀应届生； 3. 工作经验： 有过有机化学或高分子化学相关计算经历。 4. 岗位技能：  至少熟悉一种编程语言 。  有志于将所学落地于化学化工行业的流程改善。  沟通协调能力较强，性格开朗，身体素质好，有一定的抗压能力；职位福利：五险一金、绩效奖金、年终分红、带薪年假、节日福利、周末双休、公司重点项目、项目奖金 ,7月9日,融域智慧是一家新诞生的企业，注册资本1000万元，住在西安高新区软件新城二期。融域智慧针对精细化工及医药研发制造企业的科研、运营、制造方面管理痛点，融合人工智能、大数据、机器学习、工业物联网等多领域技术，为客户提供行业多平台整体解决方案。融域智慧致力于打造精细化工行业和医药行业的智能研发与智能制造系统，着力培养了解熟悉行业的高素质AI专业人才。公司秉承着开放融合的态度，欢迎立志于从事人工智能的你加入！,"https://www.zhaopin.com/jobdetail/CCL1410953600J40302448009.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3002,实施工程师,台州-椒江区,8000-16000元,青岛安然物联网科技有限公司,"物联网,物联网",20-99人,未融资,CC559764920J40884194704,岗位职责： 1. 负责石化、化工厂人员定位系统的现场实施、现场交付和技术赋能等工作。 2. 对接客户需求，进行需求调研，制定详细的施工方案和计划。 3. 确保项目按照既定的时间节点和质量要求完成交付。 4. 对已交付的项目进行后期技术支持与维护。 岗位要求： 1. 年龄在25-35岁之间。 2. 能够适应经常出差的工作要求。 3. 熟悉信息化、弱电及工业互联网相关技术。 4. 具备良好的沟通协调能力和问题解决能力。,7月24日,基于精准人员定位的工业安全生产信息化管理专家，安全生产信息化管理引领者！作为全国实时定位技术标准工作组成员和应急管理部“工业互联网+危化安全生产”人员定位系统技术支持机构，安然从2012年起致力于基于ZigBee Plus三维立体按需精准定位的“工业互联网+安全生产”的研究，获得了20多项安全智能管控系统发明专利和著作权，持续引领中国化工行业生产现场智慧安全！安然以“准、稳、狠”的ZigBee Plus三维立体按需精准人员定位统和“底数清、数据准、情况明、研判准、措施实”的安全生产信息化平台为核心，整合访客管理、出入口控制、人脸识别、视频监控、语音广播、重大危险源监控、可燃有毒气体监测等系统，对生产现场人、机、料、法、环五大要素进行实时、动态、智能管控和预警，规范人的安全行为，保障人的生命安全，有效防范风险、主动化解风险，实现智慧安全。安然“以用为本”，把安全生产信息化建设与公司管理体系“深度融合”，把安全生产信息化建设与日常工作“紧密结合”，对安全生产切实“有用、实用、好用”，避免建用“两张皮”，让安全管控更智能，让生产更高效才实用。迄今已服务中石化、中石油、延长石油、国能、兖矿、京能、索普、新安、奇美、昊源、潞安、旭阳、垦利、逸盛、海科、酒钢、金发等几百家石化、化工、选煤、钢铁、电厂企业。安然以客户为中心，以强者为本，抬头乐干，愿意与同道中人联合、链接，携手共建、共用、共享生产安全命运共同体，一起干，一起干，让优秀企业更安全，让优秀企业更高效！,"https://www.zhaopin.com/jobdetail/CC559764920J40884194704.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3003,C/C++,上海-青浦区,1.5-3万·14薪,外企德科数字技术有限公司,专业技术服务,10000人以上,,CCL1480117890J40782680605,入职一对一带教，技术菜可培养，有年终奖，线上面试城市选择多 1.学信网可查的本科以上学历，计算机相关专业优先 2.掌握C/C++/Java/Python等其中一种或多种编程语言，熟悉Linux环境下相关开发。 3.对基本数据结构和算法有一定了解，喜欢动手实践。 4.具备良好的问题解决能力，乐于团队写作，热衷新技术，善于总结和分享。 5.有容器领域、分布式系统、Linux内核、数据库引擎开发经验者优先。 6.经验不限，年限越高能力越高薪资越高 7.入职后有培训带教贯穿试用期，试用期不打折 8.六险一金全额缴纳 9.有班车,2025-07-27 00:25:13,外企德科数字技术有限公司是一家2023年新成立的中外合资企业。成立于2023年11月24日，公司定位：专注于为信息技术企业提供人才及数字技术外包解决方案的中外合资企业。它是由中国人力资源服务行业的FESCO（北京国际人力资本集团）与全球人力资源服务领导者The Adecco Group（德科集团）合资成立的。公司主要提供网络技术服务、软件外包服务、计算机系统服务、技术进出口、软件开发等信息技术相关服务。专注于为信息技术企业提供信息技术类人才及数字技术外包解决方案。,"https://www.zhaopin.com/jobdetail/CCL1480117890J40782680605.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3004,实施工程师,上海-宝山区,1-2万,信茂科华(上海)信息科技有限公司,人力资源服务,20-99人,,CCL1492998610J40693878306,工作职责：   独立负责给区域内的客户提供专业的产品技术支持   与客户建立良好的关系以带动产品的销售   给客户提供专业的学术支持，帮助医生了解最新的产品知识   开展医生的专业教育会   与市场部和销售部沟通协作确保销售业绩的完成   掌握心脏电生理工作所需的基本的专业知识和产品知识   区域学习的理论知识和简单跟台场景的知识和技能应用   将基本的专业知识和产品知识应用到实际工作场景，提升学员在阵发性房颤、  RVOT PVC 和 AFL 的跟台实践和客户沟通能力。   精通阵发性房颤跟台、产品及客户沟通能力掌握室早和典型房扑的跟台  职位要求/录用条件：   临床/影像/超声专业本科毕业，心脏电生理硕士优先   有医院临床医生背景优先   良好的医学专业英文   能独立完成工作职责，并通过相关知识考试,7月15日,,"https://www.zhaopin.com/jobdetail/CCL1492998610J40693878306.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3005,测试工程师,南昌-青山湖区,5000-7000元,天阳科技,"计算机软件,计算机软件",1000-9999人,已上市,CC120408370J40303924908,1.驻场银行科技部门，负责功能测试      2.本科学历（学信网可查）；,7月17日,天阳科技(股票代码：300872)，是全球金融创新服务的重要贡献者，持续赋能中国金融行业数字化转型，为客户提供咨询、金融科技产品、金融IT服务、云计算及运营服务。公司成立于2003年，服务超过300家金融行业客户，覆盖中央银行、政策性银行、国有银行、股份制银行、地方性商业银行、非银行金融机构等，员工人数近7000人，成为激活金融领域创新活力、推动金融科技迈入世界领先水平的重要力量。作为金融行业客户可信赖的合作伙伴，天阳科技凭借丰富的行业经验和端到端的专业服务，在信创、数字化金融、信贷、交易银行、信用卡、零售、营销、风险管理、征信监管等众多领域具备核心竞争力。据赛迪和IDC报告显示，近年来公司在中国银行业IT解决方案市场排名强势崛起，2019年收入及市场占有率综合排名分别位列第四位和第五位，并保持高速增长。同时，前瞻商业和科技趋势，入选2021年度未来银行科技服务商TOP100。天阳科技始终聚焦金融科技领域，加大自主创新力度，在超过100个城市建立本地化、专业化的研发和服务团队，拥有CMMI5级认证、软件测试成熟度模型集成（TMMi）3级认证、ISO9001质量管理体系认证、ISO20000信息技术服务管理体系认证、IS027001信息安全管理体系认证。通过部署人工智能、云计算、大数据、移动互联网、分布式计算和区块链等先进金融科技，公司致力于构建安全可控、普惠民生、开放共赢格局，在关键技术领域服务现代化金融发展大局，更好地为各利益相关方创造更大价值，为大中企业、小微企业以及每个个体提供优质金融服务。,"https://www.zhaopin.com/jobdetail/CC120408370J40303924908.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3006,前端开发,天津-和平区,1.1-1.2万,杭州速客网络服务有限公司,IT服务,20-99人,,CC635221330J40798119805,岗位内容： 1. 负责开发和维护前端系统和模块，确保其运行稳定可靠 2. 编写高效、清晰、易于维护的代码 3. 协调需求，与其他团队成员进行有效沟通和协作 任职要求： 1. 熟练掌握HTML、CSS和JavaScript，熟悉主流前端框架 2. 具备扎实的编程基础，良好的代码风格，注重代码品质 3. 擅长和团队合作，具备很好的沟通和协调能力,7月29日,,"https://www.zhaopin.com/jobdetail/CC635221330J40798119805.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3007,Java,东莞-None,1.4-2.8万·14薪,外企德科数字技术有限公司,专业技术服务,10000人以上,,CCL1480117890J40786243405,岗位要求： 1、扎实的编程能力，熟悉算法和数据结构；熟悉计算机的基础理论；  2、熟练使用java/c/c++/python/js其中一种语言，掌握Spring相关生态开源框架，熟悉MySql、MQ、Redis、SpringCloud等，熟悉事务、缓存、消息、负载均衡等；  3、熟悉Linux开发环境；  4、具有大规模高并发云服务设计和开发经验优先；  5、有微服务、容器相关开发经验优先。  任职要求：  1、扎实的编程能力，熟悉算法和数据结构；熟悉计算机的基础理论；  2、软件基础扎实，熟悉掌握但是不限于Java/Js/C/C++/Python/Go/JS等编程语言，有良好的编程习惯。  3、 具备独立工作能力和独立解决问题的能力，善于沟通，乐于协作，热衷于新技术，善于总结分享，喜欢动手实践。,2025-07-27 00:25:28,外企德科数字技术有限公司是一家2023年新成立的中外合资企业。成立于2023年11月24日，公司定位：专注于为信息技术企业提供人才及数字技术外包解决方案的中外合资企业。它是由中国人力资源服务行业的FESCO（北京国际人力资本集团）与全球人力资源服务领导者The Adecco Group（德科集团）合资成立的。公司主要提供网络技术服务、软件外包服务、计算机系统服务、技术进出口、软件开发等信息技术相关服务。专注于为信息技术企业提供信息技术类人才及数字技术外包解决方案。,"https://www.zhaopin.com/jobdetail/CCL1480117890J40786243405.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3008,测试工程师,西安-未央区,7000-10000元,陕西卓阳正通信息科技有限公司,"通信/网络设备,电气机械/电力设备,工业自动化,工程施工",300-499人,B轮,CCL1493260380J40774294212,岗位内容： 1. 执行硬件测试任务，并维护测试数据和文档； 2. 跟进测试过程中发现的问题，协助解决硬件缺陷； 3. 收集硬件测试需求，推动测试工具和方法的改进。 任职要求：  1.大专及以上学历；   2. 善于沟通和协作，具有良好的团队合作精神；   3. 具备较强的学习和自我提升意愿，能够快速适应新环境和新技术。,5月16日,公司成立于2019年，是一家充满活力与创新精神的科技企业。公司总部坐落于西安，在信息科技领域崭露头角。公司技术团队成员具备丰富的行业经验和扎实的专业知识，其中不乏来自知名科技企业的精英。他们不断追求技术创新，定期参加各类技术培训和学术交流活动，确保公司在技术领域始终保持前沿地位。我们投入大量资源用于技术研发，拥有自主研发的软件框架和算法模型，这些技术成果在提升产品质量和服务效率方面发挥了关键作用。同时，与多所高校和科研机构建立了合作关系，共同开展科研项目，促进产学研的深度融合。我们的目标是成为信息科技领域的领军企业，通过持续的技术创新和优质的服务，为客户创造更大的价值，推动行业的进步与发展，在全球信息化浪潮中发挥重要作用。,"https://www.zhaopin.com/jobdetail/CCL1493260380J40774294212.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3009,Java,大连-沙河口区,2.2-4万·14薪,株式会社GSD,"计算机软件,专业技术服务,IT服务,人力资源服务",100-299人,未融资,CC293515380J40756300411,本年（2025年）8月，日本上市公司来连，本地线下招聘赴日IT技术者，Java、C、Python、IT项目管理者、PMO、SAP等 要求： 日语可以应对日本人全程日语面试 至少任意一门得意技术，或者擅长的领域 现场面试：面试通过双方达成意向可现场签约,7月10日,株式会社GSD是一家引进先进成熟的技术经验，整合中日人才资源，在人才介绍、派遣等方面为企业提供全方位的人力资源解决方案，致力于打造高品质的技术型外包服务企业，做客户信赖的技术支持伙伴，全心全意为客户提供一站式的服务的公司。株式会社GSD成立于2015年，公司设在东京文京区。以软件开发、软件委托开发和互联网服务为主要业务的高科技企业，主要擅长基于互联网的各种应用项目的开发，尤其在金融领域(银行、证券、保险）商业、物流等领域，拥有一批经验丰富的工程师队伍活跃在开发前线。公司自成立以来发展迅速，凭借一流的开发技术与管理经验，与日本多家企业建立了密切的合作关系。并且，获得了客户的一致好评。本公司提倡以人为本的经营理念，在工作中坚持提高人、培养人、尊重人、为了人的用人原则，努力创造相互信赖、团结的职场氛围。现诚招有识之士加盟我们，我们愿为您提供优厚的待遇和施展才华的空间，欢迎加入GSD与我们携手共同发展。,"https://www.zhaopin.com/jobdetail/CC293515380J40756300411.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3010,Java,长沙-岳麓区,1.2-2.4万·14薪,外企德科数字技术有限公司,专业技术服务,10000人以上,,CCL1480117890J40789650905,职位描述 1、熟练掌握Java、python、C/C++等主流开发语言的一种，掌握常见的数据结构、了解软件工程、敏捷开发等知识，熟悉常用设计模式； 2、了解主流数据库技术，至少精通mysql、postgresql等主流数据库技术中的一种；有SQL语句调优经验，并在中大型项目中实际应用者优先； 3、熟悉spring boot，mybatis或flask等常用框架； 4、了解分布式系统原理；熟悉ElasticSearch、Redis、mongodb、kafka等一种或多种中间件，并实际应用中有相关经验者优先,2025-07-27 00:25:43,外企德科数字技术有限公司是一家2023年新成立的中外合资企业。成立于2023年11月24日，公司定位：专注于为信息技术企业提供人才及数字技术外包解决方案的中外合资企业。它是由中国人力资源服务行业的FESCO（北京国际人力资本集团）与全球人力资源服务领导者The Adecco Group（德科集团）合资成立的。公司主要提供网络技术服务、软件外包服务、计算机系统服务、技术进出口、软件开发等信息技术相关服务。专注于为信息技术企业提供信息技术类人才及数字技术外包解决方案。,"https://www.zhaopin.com/jobdetail/CCL1480117890J40789650905.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3011,实施工程师,沈阳-浑南区,8000-14000元,青岛安然物联网科技有限公司,"物联网,物联网",20-99人,未融资,CC559764920J40823826504,需要弱电技术、自动化、安防系统、工业互联网+危化安全生产、物联网人才，不要纯软件人才。  你能经常到全国各地出差吗？你能到工业生产现场生产现场做技术支持吗？   真正的奋斗者在安然会有让人值得为之奋斗的事业，会有充实、高效的成长，会有高人一等的收入。   你能做好售前技术支持、根据客户需求，高效制作方案吗？你能做好售中技术支持、指导他人正确安装、部署、调试系统向用户保质保量快速交付吗？你能做好售后维护，高效沟通和落实客户需求吗？   迄今已服务中石化、中石油、延长石油、国能、兖矿、京能、索普、新安、奇美、昊源、潞安、旭阳、垦利、逸盛、海科、酒钢、金发等几百家石化、化工、选煤、钢铁、电厂企业。    安然以客户为中心，以强者为本，抬头乐干，愿意与同道中人联合、链接，携手共建、共用、共享生产安全命运共同体，一起干，一起干，让优秀企业更安全，让优秀企业更高效！,2月12日,基于精准人员定位的工业安全生产信息化管理专家，安全生产信息化管理引领者！作为全国实时定位技术标准工作组成员和应急管理部“工业互联网+危化安全生产”人员定位系统技术支持机构，安然从2012年起致力于基于ZigBee Plus三维立体按需精准定位的“工业互联网+安全生产”的研究，获得了20多项安全智能管控系统发明专利和著作权，持续引领中国化工行业生产现场智慧安全！安然以“准、稳、狠”的ZigBee Plus三维立体按需精准人员定位统和“底数清、数据准、情况明、研判准、措施实”的安全生产信息化平台为核心，整合访客管理、出入口控制、人脸识别、视频监控、语音广播、重大危险源监控、可燃有毒气体监测等系统，对生产现场人、机、料、法、环五大要素进行实时、动态、智能管控和预警，规范人的安全行为，保障人的生命安全，有效防范风险、主动化解风险，实现智慧安全。安然“以用为本”，把安全生产信息化建设与公司管理体系“深度融合”，把安全生产信息化建设与日常工作“紧密结合”，对安全生产切实“有用、实用、好用”，避免建用“两张皮”，让安全管控更智能，让生产更高效才实用。迄今已服务中石化、中石油、延长石油、国能、兖矿、京能、索普、新安、奇美、昊源、潞安、旭阳、垦利、逸盛、海科、酒钢、金发等几百家石化、化工、选煤、钢铁、电厂企业。安然以客户为中心，以强者为本，抬头乐干，愿意与同道中人联合、链接，携手共建、共用、共享生产安全命运共同体，一起干，一起干，让优秀企业更安全，让优秀企业更高效！,"https://www.zhaopin.com/jobdetail/CC559764920J40823826504.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
3012,Java,杭州-西湖区,6000-8000元,上海学获帮教育科技有限公司,培训/辅导服务,20-99人,未融资,CCL1495534810J40770090914,岗位内容： 1. 开发高质量的Java应用程序，保证代码的可读性、可维护性、可扩展性和性能。 2. 参与需求分析、系统设计和开发计划的制定。 3. 能够快速识别问题并提供有效的解决方案。 4. 与产品和测试团队紧密合作，确保产品质量符合用户期望。 任职要求： 1. 精通Java编程语言和Spring框架，有大型项目开发经验。 2. 拥有扎实的计算机基础，熟练掌握面向对象编程思想和设计模式。 3. 熟练使用常见的Web容器和数据库（如Tomcat、MySQL）。 4. 熟悉敏捷开发流程，具备优秀的沟通和协调能力。,7月23日,上海学获帮教育科技有限公司上海学获帮教育科技有限公司成立于2024年04月01日，注册地位于上海市松江区叶榭镇叶旺公路1号1楼，法定代表人为苏峰。经营范围包括一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；组织文化艺术交流活动；体育赛事策划；组织体育表演活动；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,"https://www.zhaopin.com/jobdetail/CCL1495534810J40770090914.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
